,beer,brewery,style,link,abv,rating
47,Ardea Insignis,Central Waters Brewing Company,Stout - Imperial / Double,/b/central-waters-brewing-company-ardea-insignis/1529924,14% ABV,4.62
48,Black Tuesday Reserve (2015),The Bruery,Stout - Imperial / Double,/b/the-bruery-black-tuesday-reserve-2015/1263643,20.5% ABV,4.62
49,It Was All A Dream,J. Wakefield Brewing,Stout - Imperial / Double,/b/j-wakefield-brewing-it-was-all-a-dream/1942262,17% ABV,4.61
0,Budweiser Budvar B:ORIGINAL / Czechvar B:ORIGINAL,Budějovický Budvar,Pilsner - Czech,/b/budejovicky-budvar-budweiser-budvar-boriginal-czechvar-boriginal/5385,5% ABV,3.273
1,Spaten München / Münchner Hell / Premium Lager,Spaten-Franziskaner-Löwenbräu-Gruppe,Lager - Helles,/b/spatenfranziskanerlowenbraugruppe-spaten-munchen-munchner-hell-premium-lager/1633,5.2% ABV,3.358
2,Lagerbier Hell,Augustiner-Bräu München,Lager - Helles,/b/augustinerbrau-munchen-lagerbier-hell/9254,5.2% ABV,3.646
3,Paulaner Original Münchner Hell / Premium Lager / Munich Lager,Paulaner Brauerei,Lager - Helles,/b/paulaner-brauerei-paulaner-original-munchner-hell-premium-lager-munich-lager/3235,4.9% ABV,3.43
4,Andygator,Abita Brewing Company,Bock - Hell / Maibock / Lentebock,/b/abita-brewing-company-andygator/5627,8% ABV,3.538
5,Leffe Brune / Bruin,Abbaye de Leffe,Brown Ale - Belgian,/b/abbaye-de-leffe-leffe-brune-bruin/5941,6.5% ABV,3.561
6,Shiner Holiday Cheer,Spoetzl Brewery,Dunkelweizen,/b/spoetzl-brewery-shiner-holiday-cheer/6905,5.4% ABV,3.587
7,Köstritzer Schwarzbier,Köstritzer Schwarzbierbrauerei,Schwarzbier,/b/kostritzer-schwarzbierbrauerei-kostritzer-schwarzbier/25784,4.8% ABV,3.52
8,Skuumkoppe,Texelse Bierbrouwerij,Dunkelweizen,/b/texelse-bierbrouwerij-skuumkoppe/51276,6% ABV,3.618
9,Aventinus (TAP06),Schneider Weisse G. Schneider & Sohn,Bock - Weizendoppelbock,/b/schneider-weisse-g-schneider-and-sohn-aventinus-tap06/16851,8.2% ABV,3.857
10,IPA,Lagunitas Brewing Company,IPA - American,/b/lagunitas-brewing-company-ipa/4509,6.2% ABV,3.735
11,Arrogant Bastard Ale,Arrogant Consortia,Strong Ale - American,/b/arrogant-consortia-arrogant-bastard-ale/18099,7.2% ABV,3.734
12,Peeper,Maine Beer Company,Pale Ale - American,/b/maine-beer-company-peeper/13088,5.5% ABV,3.824
13,Grunion Pale Ale,Ballast Point Brewing Company,Pale Ale - American,/b/ballast-point-brewing-company-grunion-pale-ale/419534,5.5% ABV,3.759
14,Citrusinensis,Lagunitas Brewing Company,Pale Ale - American,/b/lagunitas-brewing-company-citrusinensis/1119569,7.7% ABV,3.866
15,Kirsch Gose,Victory Brewing Company,Sour - Fruited Gose,/b/victory-brewing-company-kirsch-gose/972795,4.7% ABV,3.772
16,Gaffel Kölsch,Privatbrauerei Gaffel Becker,Kölsch,/b/privatbrauerei-gaffel-becker-gaffel-kolsch/13647,4.8% ABV,3.323
17,Canoe Paddle Kölsch,Jacob Leinenkugel Brewing Company,Kölsch,/b/jacob-leinenkugel-brewing-company-canoe-paddle-kolsch/263791,5% ABV,3.32
18,Früh Kölsch,Cölner Hofbräu Früh,Kölsch,/b/colner-hofbrau-fruh-fruh-kolsch/1639,4.8% ABV,3.303
19,Reissdorf Kölsch,Privat-Brauerei Heinrich Reissdorf ,Kölsch,/b/privatbrauerei-heinrich-reissdorf-reissdorf-kolsch/27194,4.8% ABV,3.5
20,Franziskaner Premium Weissbier Naturtrüb,Spaten-Franziskaner-Löwenbräu-Gruppe,Hefeweizen,/b/spatenfranziskanerlowenbraugruppe-franziskaner-premium-weissbier-naturtrub/14564,5% ABV,3.71
21,Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier,Paulaner Brauerei,Hefeweizen,/b/paulaner-brauerei-paulaner-hefeweissbier-hefeweizen-weissbier/15677,5.5% ABV,3.674
22,Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,/b/bayerische-staatsbrauerei-weihenstephan-weihenstephaner-hefeweissbier/8745,5.4% ABV,3.803
23,Erdinger Weißbier / Hefe-Weizen,Erdinger Weissbräu,Hefeweizen,/b/erdinger-weissbrau-erdinger-weissbier-hefeweizen/7420,5.3% ABV,3.659
24,König Ludwig Weissbier Hell / Royal Bavarian Hefe-Weizen,König Ludwig Schlossbrauerei Kaltenberg,Hefeweizen,/b/konig-ludwig-schlossbrauerei-kaltenberg-konig-ludwig-weissbier-hell-royal-bavarian-hefeweizen/30203,5.5% ABV,3.585
26,Two Hearted Ale,Bell's Brewery,IPA - American,/b/bells-brewery-two-hearted-ale/4133,7% ABV,3.961
27,All Day IPA,Founders Brewing Co.,IPA - Session / India Session Ale,/b/founders-brewing-co-all-day-ipa/36834,4.7% ABV,3.714
28,Goose IPA,Goose Island Beer Co.,IPA - English,/b/goose-island-beer-co-goose-ipa/1353,5.9% ABV,3.521
29,Sculpin,Ballast Point Brewing Company,IPA - American,/b/ballast-point-brewing-company-sculpin/5558,7% ABV,3.968
30,A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,Wheat Beer - American Pale Wheat,/b/lagunitas-brewing-company-a-little-sumpin-sumpin-ale/25796,7.5% ABV,3.8
31,Newcastle Brown Ale,John Smith's,Brown Ale - English,/b/john-smiths-newcastle-brown-ale/5856,4.7% ABV,3.398
32,Lagunitas Sucks,Lagunitas Brewing Company,IPA - Imperial / Double,/b/lagunitas-brewing-company-lagunitas-sucks/285026,8% ABV,3.965
33,Hazelnut Brown Nectar,Rogue Ales,Brown Ale - American,/b/rogue-ales-hazelnut-brown-nectar/4179,5.6% ABV,3.803
34,Brown Shugga',Lagunitas Brewing Company,Strong Ale - American,/b/lagunitas-brewing-company-brown-shugga/4740,10% ABV,3.744
35,Guinness Draught,Guinness,Stout - Irish Dry,/b/guinness-guinness-draught/4473,4.2% ABV,3.783
36,Breakfast Stout,Founders Brewing Co.,Stout - Oatmeal,/b/founders-brewing-co-breakfast-stout/4589,8.3% ABV,4.135
37,Milk Stout Nitro,Left Hand Brewing Company,Stout - Milk / Sweet,/b/left-hand-brewing-company-milk-stout-nitro/82680,6% ABV,3.941
38,Dragon's Milk,New Holland Brewing ,Stout - Imperial / Double,/b/new-holland-brewing-dragons-milk/123662,11% ABV,4.059
39,Old Rasputin,North Coast Brewing Company,Stout - Russian Imperial,/b/north-coast-brewing-company-old-rasputin/30855,9% ABV,4.014
40,Heineken,Heineken,Lager - Euro Pale,/b/heineken-heineken/5860,5% ABV,2.927
41,Pilsner Urquell,Plzeňský Prazdroj,Pilsner - Czech,/b/plzensky-prazdroj-pilsner-urquell/37936,4.4% ABV,3.357
42,Grolsch Premium Lager,Koninklijke Grolsch,Pilsner - Other,/b/koninklijke-grolsch-grolsch-premium-lager/7221,5% ABV,3.235
43,Pacífico Clara,Grupo Modelo,Lager - American,/b/grupo-modelo-pacifico-clara/5850,4.5% ABV,3.133
44,Warsteiner Premium Verum / German Pilsener,Warsteiner,Pilsner - German,/b/warsteiner-warsteiner-premium-verum-german-pilsener/10703,4.8% ABV,3.204
47,Pale Ale,Sierra Nevada Brewing Co.,Pale Ale - American,/b/sierra-nevada-brewing-co-pale-ale/6284,5.6% ABV,3.637
49,60 Minute IPA,Dogfish Head Craft Brewery,IPA - American,/b/dogfish-head-craft-brewery-60-minute-ipa/3952,6% ABV,3.853
